Student ID,Age,Gender,Year,GPA,Brain Dominance,Time Spent on Video (min),Avg Video Score,Video Completion Rate (%),Time Spent on Audio (min),Avg Audio Score,Audio Completion Rate (%),Time Spent on Article (min),Avg Article Score,Article Completion Rate (%),Time Spent on Interactive (min),Avg Interactive Score,Interactive Completion Rate (%),Progress (%),Total Scroll Depth on Articles (%),Visual,Aural,Read/Write,Kinesthetic,Primary VARK
1,21,M,1st,2.25,Left,39,68,62,57,58,46,29,52,38,65,85,56,72,64,25.81,24.28,18.36,31.55,Kinesthetic
2,18,F,4th,2.03,Right,52,72,54,72,67,53,74,68,59,93,83,51,75,97,22.58,23.96,25,28.46,Kinesthetic
3,25,M,4th,3.34,Right,60,60,45,48,58,28,43,46,63,52,75,62,58,63,25.71,21.31,23.25,29.74,Kinesthetic
4,21,M,3rd,3.63,Right,47,54,21,64,56,36,70,80,64,46,51,32,95,75,19.96,24.9,34.32,20.82,Read/Write
5,20,M,3rd,3.85,Left,41,55,47,46,45,21,37,56,38,57,59,42,67,82,26.2,20.63,24.31,28.86,Kinesthetic
6,19,M,4th,2.61,Right,71,72,58,77,73,43,70,64,52,50,49,45,58,94,27.78,26.83,25.6,19.79,Visual
7,24,M,4th,2.17,Right,64,72,36,56,76,47,62,74,56,58,64,51,76,46,24.16,25.18,26.71,23.95,Read/Write
8,22,F,3rd,3.59,Right,51,64,55,74,67,69,59,58,29,60,53,58,57,55,24.6,29.88,21.26,24.26,Aural
9,25,M,3rd,3.97,Right,54,57,44,43,57,37,67,80,56,51,65,57,86,30,23.07,20.68,30.45,25.81,Read/Write
10,18,F,3rd,2.87,Balanced,32,50,30,81,72,62,55,49,35,58,72,45,74,87,17.82,33.1,21.51,27.56,Aural
11,23,M,1st,2.71,Right,66,63,52,80,69,51,49,69,52,47,44,25,96,54,26.98,29.79,25.78,17.45,Aural
12,22,F,2nd,2.06,Balanced,22,66,50,41,65,58,40,51,34,58,71,54,63,61,23.04,26.74,20.45,29.76,Kinesthetic
13,25,F,4th,2.01,Right,57,62,36,64,56,39,48,65,62,57,76,53,88,54,23.07,23.34,25.83,27.76,Kinesthetic
14,18,F,4th,3.9,Right,73,80,51,80,65,44,45,44,43,40,59,43,94,79,30.77,28.1,19.56,21.57,Visual
15,19,M,4th,2.58,Left,40,59,44,53,53,57,60,73,48,50,48,32,60,64,23.42,26.01,29.56,21.02,Read/Write
16,22,M,4th,2.22,Balanced,56,80,73,64,68,51,76,67,42,56,50,48,78,78,28.76,25.1,25.31,20.83,Visual
17,22,M,3rd,3.34,Balanced,39,43,43,58,66,50,47,57,33,60,62,48,55,91,20.43,28.74,22.87,27.96,Aural
18,20,F,2nd,3.8,Right,55,55,32,52,60,38,65,80,54,55,61,39,66,84,21.92,23.25,30.86,23.97,Read/Write
19,19,M,4th,2.9,Right,68,67,51,57,70,61,58,69,49,88,76,66,51,46,23.84,24.18,22.77,29.21,Kinesthetic
20,22,M,1st,2.52,Left,56,74,58,73,74,47,63,81,57,56,75,70,94,56,24.02,24.7,25.75,25.53,Read/Write
21,18,M,3rd,2.51,Left,50,61,44,64,69,54,75,79,49,41,52,40,82,90,22.92,27.45,29.98,19.65,Read/Write
22,23,F,4th,3.1,Balanced,64,62,56,57,46,35,60,72,64,67,83,49,56,60,25.25,19.1,27.41,28.24,Kinesthetic
23,23,F,4th,3.41,Balanced,65,66,58,78,63,63,74,77,48,62,70,25,82,92,25.09,26.75,26.71,21.44,Aural
24,24,M,4th,3.59,Right,49,44,30,54,76,66,62,63,55,56,59,37,80,70,18.82,30.25,27.47,23.46,Aural
25,25,M,2nd,2.56,Balanced,62,73,64,43,48,20,79,60,47,50,44,32,60,40,32.04,18.22,29.56,20.18,Visual
26,25,F,1st,3.46,Right,51,64,41,46,53,31,53,47,17,46,64,69,78,46,26.95,22.44,20.16,30.45,Kinesthetic
27,22,F,2nd,3.41,Left,56,49,57,51,80,59,49,61,33,58,63,34,82,39,24.29,29.51,22.24,23.97,Aural
28,22,M,4th,2.95,Balanced,71,68,56,43,63,37,58,80,47,58,77,46,73,93,27.21,20.5,26.46,25.83,Visual
29,19,F,1st,2.6,Balanced,40,69,38,40,55,42,36,59,35,54,57,59,100,87,25.6,23.39,22.54,28.46,Kinesthetic
30,18,M,1st,3.11,Balanced,67,81,53,65,64,56,41,59,36,55,54,38,90,63,30.2,27.33,20.62,21.85,Visual
31,22,M,1st,2.61,Right,51,59,73,55,51,19,49,73,62,36,55,42,64,37,28.77,20.16,29.58,21.49,Read/Write
32,22,M,2nd,2.8,Left,37,44,41,48,41,45,43,68,46,69,60,46,86,66,20.74,22.41,27.26,29.59,Kinesthetic
33,23,F,1st,2.23,Left,55,73,44,46,55,42,42,48,50,68,67,45,73,62,27.42,22.53,21.79,28.26,Kinesthetic
34,20,F,3rd,3.78,Balanced,65,79,49,60,69,64,72,71,53,59,68,54,51,61,25.54,25.16,25.58,23.72,Read/Write
35,19,F,2nd,3.25,Balanced,76,79,63,52,65,39,50,56,55,65,59,35,54,45,31.31,22.77,23.02,22.9,Visual
36,18,F,2nd,2.84,Left,41,56,30,50,63,39,46,55,52,53,64,46,96,86,21.6,25.65,25.41,27.34,Kinesthetic
37,21,F,4th,3.77,Balanced,58,72,59,42,49,48,76,71,65,36,52,27,51,53,28.93,21.1,32.01,17.97,Read/Write
38,23,F,4th,2.25,Balanced,54,63,36,57,74,57,43,49,41,62,70,52,81,69,23.41,28.61,20.09,27.89,Aural
39,22,M,1st,3.16,Right,42,61,39,60,66,38,41,57,52,59,74,41,72,86,22.67,25.98,23.6,27.75,Kinesthetic
40,21,M,1st,3.24,Balanced,56,56,35,49,49,23,40,52,18,56,57,56,72,86,26.79,22.21,20.59,30.4,Kinesthetic
41,25,M,4th,2.41,Balanced,50,61,53,57,66,60,52,74,61,71,80,53,91,56,22.16,24.65,25.45,27.74,Kinesthetic
42,19,M,1st,2.4,Right,74,78,63,43,78,60,60,66,39,51,52,45,91,100,30.11,25.86,23.37,20.66,Visual
43,24,M,2nd,3.46,Balanced,59,67,45,70,78,53,70,66,53,58,52,54,59,71,23.79,27.93,25.96,22.31,Aural
44,24,M,2nd,2.73,Left,57,76,68,54,68,33,49,58,46,56,53,62,76,30,29.59,23.22,22.53,24.66,Visual
45,18,M,2nd,3.11,Left,58,70,37,68,74,55,39,60,75,60,64,51,69,42,23.53,27.7,24.24,24.53,Aural
46,24,M,2nd,3.28,Balanced,62,62,53,48,63,44,49,49,50,64,80,55,73,52,25.88,23.05,21.52,29.55,Kinesthetic
47,20,M,2nd,3.93,Balanced,60,83,39,45,43,40,62,52,41,64,74,47,55,38,28.56,19.39,23.48,28.56,Visual
48,19,F,2nd,3.37,Balanced,49,50,48,64,64,33,59,70,42,56,51,42,96,48,23.17,25.81,27.51,23.5,Read/Write
49,21,F,2nd,2.3,Right,46,68,29,44,46,55,50,49,35,49,70,47,80,96,24.89,24.09,22.58,28.44,Kinesthetic
50,18,M,4th,2.22,Left,54,48,50,74,67,40,74,72,46,46,65,48,100,82,21.88,26.48,28.12,23.52,Read/Write
51,21,M,4th,3.34,Left,77,71,53,54,52,40,80,66,46,65,73,70,59,84,26.93,19.58,25.65,27.85,Kinesthetic
52,18,M,3rd,2.55,Balanced,46,65,37,33,61,43,66,64,47,68,80,61,73,87,22.3,20.67,26.06,30.97,Kinesthetic
53,19,M,1st,3.23,Left,53,84,78,45,53,48,45,63,46,40,53,31,89,80,33.59,22.63,24.19,19.59,Visual
54,22,F,2nd,3.62,Right,79,63,36,37,62,40,43,63,30,55,81,47,76,90,27.42,22,21.64,28.94,Kinesthetic
55,25,F,1st,3.91,Right,62,79,62,58,74,57,62,66,43,67,79,52,81,54,26.66,24.84,22.43,26.08,Visual
56,22,F,2nd,3.11,Left,35,52,29,64,77,49,54,65,51,36,51,36,59,37,19.59,31.68,28.16,20.57,Aural
57,25,M,1st,2.75,Balanced,61,66,61,30,37,36,50,60,42,48,41,42,78,69,32.71,17.96,26.79,22.53,Visual
58,25,M,2nd,3.71,Balanced,52,47,22,71,79,46,50,58,62,57,62,42,97,83,18.72,30.46,25.94,24.89,Aural
59,21,M,2nd,3.99,Balanced,53,64,59,56,55,54,35,39,24,56,76,47,88,46,28.35,26.34,15.95,29.36,Kinesthetic
60,24,F,4th,3.89,Right,49,69,62,43,57,47,71,74,45,67,64,55,70,72,25.66,20.99,27.14,26.21,Read/Write
61,22,M,2nd,3.55,Balanced,48,55,39,75,59,62,39,50,32,57,86,58,69,66,21.57,29.01,18.52,30.9,Kinesthetic
62,24,M,2nd,3.5,Balanced,67,62,47,42,50,39,53,58,61,44,63,38,55,100,28.03,21.05,27.27,23.66,Visual
63,18,F,2nd,2.72,Right,58,57,37,65,67,75,58,71,71,68,71,55,65,50,20.32,27.25,26.57,25.86,Aural
64,21,M,4th,2.19,Left,62,74,42,37,59,49,46,64,39,68,66,40,94,74,27.62,22.44,23.22,26.72,Visual
65,22,M,4th,3.31,Right,55,73,66,66,65,45,56,65,49,40,53,40,72,69,28.79,26.07,25.27,19.87,Visual
66,22,F,4th,3.16,Left,56,73,57,68,79,72,61,57,41,43,54,46,84,63,26.47,30.87,22.4,20.26,Visual
67,18,M,4th,2.8,Left,57,75,48,52,64,41,80,72,60,52,46,47,54,88,26.29,22.87,30.27,20.56,Read/Write
68,24,M,1st,3.84,Right,55,75,65,62,55,64,46,68,32,49,63,40,76,44,28.91,26.19,22.16,22.73,Visual
69,21,M,4th,3.84,Left,38,50,52,35,58,24,45,54,21,44,58,48,52,92,26.1,22.71,22.99,28.21,Kinesthetic
70,19,M,3rd,2.86,Right,58,70,61,57,75,47,64,70,34,39,68,67,73,54,26.4,25.36,23.79,24.45,Visual
71,22,M,1st,3.1,Right,63,79,58,58,66,47,76,74,78,50,62,57,52,62,26.27,22.4,29.32,22.01,Read/Write
72,22,F,3rd,3.9,Right,61,76,62,52,75,38,58,60,69,60,79,54,58,30,26.69,22.6,24.62,26.09,Visual
73,22,F,1st,3.22,Right,59,71,27,65,75,42,58,66,38,53,50,34,88,53,24.91,28.54,25.37,21.19,Aural
74,25,F,4th,3.03,Balanced,50,47,42,72,75,67,58,67,41,70,79,55,50,70,19.04,29.42,23.18,28.35,Aural
75,24,F,1st,2.55,Right,78,66,43,57,64,68,52,81,55,55,75,47,52,70,24.99,25.15,25.71,24.15,Read/Write
76,25,M,4th,3.26,Balanced,56,64,33,69,81,72,57,68,48,74,64,49,50,87,21.07,30.1,23.65,25.18,Aural
77,24,F,2nd,3.89,Right,63,71,56,53,80,61,59,62,37,83,81,51,95,57,24.99,25.81,20.9,28.3,Kinesthetic
78,20,M,4th,3.97,Left,43,51,30,45,47,47,15,61,53,45,53,45,98,83,23.28,25.54,24.66,26.53,Kinesthetic
79,20,F,1st,2.59,Right,73,73,58,30,56,39,50,50,38,58,76,76,63,76,29.97,18.85,20.3,30.88,Kinesthetic
80,20,M,3rd,2.78,Right,70,69,40,65,66,66,55,60,39,29,63,42,64,79,26.93,29.2,23.2,20.67,Aural
81,19,M,1st,2.24,Left,64,68,52,68,69,37,51,73,54,67,69,40,63,86,25.67,24.47,25.13,24.72,Visual
82,18,F,1st,3.84,Left,56,64,36,62,72,54,68,71,46,64,67,69,72,52,21.62,25.84,25.44,27.1,Kinesthetic
83,24,F,3rd,3.35,Right,81,79,56,39,45,35,35,55,35,68,72,71,82,90,32.11,17.76,18.99,31.14,Visual
